"Site
#",School,Date,Time,"Creek
Appearance","Weather  (past 48
hr)",Stage (m),"Discharge
(m3
s)",Other tests,"Sulfate
(mg
L)","Flow  (m
s)","Temp. (deg
C)","pH
Meter","TDS
(mg
L)","DO
(mg
L)","NO3-N
(mg
L)","P (mg
L)","Alk
(mg
L)","Turb
(JTU)","Fe
(mg
L)","WQI
value","Conductivity
(uS
cm)","pH
Test
Kit"
12,Parker,2000-09-28,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,10,7.95,95,15.5,1,0.053,204,5,.,14.55,.,.
13,Parker,2000-09-28,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,15,7.6,90,6,0.005,0.0026,161.5,10,.,8.69,.,.
33,Parker,2000-09-28,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,10,7.8,135,9.5,0.15,0.0253,178.5,7.5,.,9.13,.,.
12,Parker,2000-09-28,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,10,8,115,11,1,0,187,5,.,17.3,.,.
13,Parker,2000-09-28,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,15,6.9,85,8,0.21,0.13333,161.5,10,.,15.3,.,.
33,Parker,2000-09-28,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,10,7.45,140,10.5,0.21,0,187,10,.,7.15,.,.
12,Parker,2000-09-28,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,10,8,120,13,0.61,0,170,5,.,12,.,.
13,Parker,2000-09-28,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,15,7.4,90,9,1,0.1,161.6,5,.,17,.,.
33,Parker,2000-09-28,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,.,6.95,125,9.5,0.24,0,204,8.75,.,11.9,.,.
25,"Meadville
Middle",2000-09-29,.,n/a,n/a,n/a,n/a,,no data,n/a,16.5,7.5,170,9.5,0.2,0.036,145,5,.,6.89,.,.
26,"Meadville
Middle",2000-09-29,.,n/a,n/a,n/a,n/a,,no data,n/a,8,7.25,195,10.3,0.11,0.01,153,5,.,7.04,.,.
21,"Cambridge
Springs",2000-09-29,1:00:00,normal,"sunny, clear",0.7,n/a,,no data,n/a,10,7.5,160,6.5,0,0,190,35,.,12.45,.,.
21,"Cambridge
Springs",2000-09-29,10:00:00,normal,"clear,frost",Springs,n/a,,no data,n/a,9.5,7.4,130,11,0,0,170,0,.,3.1,.,.
5,"Cambridge
Springs",2000-10-02,.,normal,morning rain,0.7,n/a,Width=257ft,no data,1.2,20,7.8,115,12,0,0.22,34,5,.,8.3,.,.
9,"Sherman
Central",2000-10-02,.,n/a,"sunny, warm",n/a,n/a,,no data,n/a,16,8,255,12,0.18,.,.,10,.,.,.,.
7,Meadville Senior,2000-10-04,.,cloudy,heavy rain,n/a,n/a,,no data,rapid,14,8.5,125,8,0,0,98,18,.,16,.,.
35,Meadville High,2000-10-04,.,higher,no data,n/a,n/a,,no data,n/a,.,7,205,8.5,0.065,0.04,110,5,.,10.3,.,.
6,Saegertown,2000-10-05,.,very murky,heavy rain,n/a,n/a,"Hard=10.5g/gal,",no data,n/a,15,8.3,125,9.5,0.13,1.73,136,10,.,39,.,.
5,"Cambridge
Springs",2000-10-06,.,"normal, clear",light rain,0.53,n/a,,no data,1.1,15,7.3,95,9.5,0.26,0.03,127.5,0,.,8,.,.
29,Seneca,2000-10-10,.,clear,"rain, cold",n/a,n/a,,no data,n/a,7,6.4,90,19,0.001,0.13,221,15,.,10.46,.,.
30,Seneca,2000-10-10,.,n/a,"clear, flurries",n/a,n/a,,no data,n/a,6.5,6.5,90,9.5,0.001,0.053,85,0,.,12.16,.,.
32,Seneca,2000-10-10,.,clear,"rain, flurries",normal,n/a,,no data,fast,11.5,7.1,100,5.5,0.001,0.133,102,5,.,12.36,.,.
36,Conneaut Valley,2000-10-10,.,"fast, turbid",heavy rain,0.5,n/a,,no data,0.25,10,7.6,80,11,0.35,0.03,102,10,.,9.05,.,.
37,Conneaut Valley,2000-10-10,.,"fast, turbid",heavy rain,1.3,n/a,,no data,0.3,9.9,7.4,50,11,0.28,0.05,68,55,.,17.65,.,.
38,Conneaut Valley,2000-10-10,.,"fast, turbid",heavy rain,1.7,n/a,,no data,0.35,9.8,7.4,60,11,0.26,0.04,68,50,.,16.3,.,.
47,Grove City,2000-10-10,7:15:00,slow,nice,n/a,n/a,,no data,n/a,18.2,7.4,150,28,0.05,.,102,.,.,.,.,.
48,Grove City,2000-10-10,8:30:00,slow,nice,n/a,n/a,,no data,n/a,8.2,7.5,150,6.5,0.11,0,119,5,.,7.55,.,.
2,Bethesda,2000-10-12,.,n/a,cool,n/a,n/a,,no data,n/a,8,6.95,75,10.5,2,0,161.5,0,.,27.05,.,.
4,"Cambridge
Springs",2000-10-12,.,"murky, fast",rain,4.9,n/a,RCE=179,no data,n/a,10,6.95,65,8,0.65,0.045,27.2,5,.,16.98,.,.
28,Fort LeBoeuf,2000-10-12,.,higher,"no rain, cool",0.95,n/a,,no data,n/a,12,7.7,100,11,0.32,0.13,110.5,5,.,10.05,.,.
15,"Conneaut Lake
Jr/Sr. High",2000-10-12,.,more flowing,,N/A,N/A,N/A,N/A,N/A,12,7,70,13,0,0.0365,93.5,5,.,6.45,.,.
1,Maplewood,2000-10-12,12:00:00,normal,clear,normal,n/a,,no data,n/a,10.5,7.8,50,11,0,0,68,0,.,4.7,.,.
25,"Meadville
Middle",2000-10-13,.,n/a,recent rain,high,n/a,,no data,n/a,14,7.65,115,11.5,0.28,0.015,102,17.5,.,9.68,.,.
26,"Meadville
Middle",2000-10-13,.,n/a,recent rain,n/a,n/a,,no data,quick,7.5,7.5,130,10.5,0.15,0.02,90,5,.,5.45,.,.
39,General McLane,2000-10-17,.,clear,scattered rain,normal,n/a,macro sample,no data,n/a,12.5,8.45,110,9.5,0.355,0,170,5,.,15.5,.,.
19,Clymer,2000-10-18,.,fast,rain,2,n/a,,no data,17,12,8.7,70,7,0.1,0.12,119,5,.,18.5,.,.
46,Seneca,2000-10-18,.,calm,"rain, fog",normal,n/a,,no data,n/a,12,8.8,100,12.5,0,0,112.2,5,.,12.65,.,.
3,Bethesda,2000-10-19,.,clear,light rain,n/a,n/a,,no data,n/a,12.5,8,100,13,0,0,85,0,.,4.9,.,.
6,Saegertown,2000-10-19,.,murky,"drizzle, chilly",0.75,21.5,Hard=6.5p/pg,no data,0.63,13.5,9.3,125,11,0.9,0.046,127.5,10,.,28.39,.,.
28,Fort LeBoeuf,2000-10-19,.,clear,"overcast, mild",1.2,n/a,V=1.5m/s,no data,2.4,11,8.2,130,8.5,0.1,0.16,102,2.5,.,13.55,.,.
40,General McLane,2000-10-19,.,n/a,clear then rain,normal,n/a,,no data,n/a,11.25,8.5,90,9.5,0,0,110.5,25,.,16.35,.,.
12,Parker,2000-10-19,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,9,7.9,110,9,0.72,0.01333,136,5,.,15.3,.,.
13,Parker,2000-10-19,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,12.5,7.35,100,7.5,0.2,0.0133,126.5,5,.,9.15,.,.
33,Parker,2000-10-19,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,9.5,7.7,100,10.5,0.2,0.1333,187,5,.,9.25,.,.
12,Parker,2000-10-19,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,10,7.9,110,9,0.72,0.04333,161.5,5,.,15.75,.,.
13,Parker,2000-10-19,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,14.5,6.75,95,7.5,0.31,0.01333,144.5,5,.,15.05,.,.
33,Parker,2000-10-19,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,10,7.6,110,9.5,0.2,0.1333,153,0,.,8.15,.,.
12,Parker,2000-10-19,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,10,8.1,120,10.5,0.666,0,170,5,.,15.11,.,.
13,Parker,2000-10-19,11:33:00,discharge,n/a,n/a,n/a,,no data,n/a,13,6.65,170,7,6.7,0.01666,144.5,50,.,89.15,.,.
33,Parker,2000-10-19,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,11,7.65,115,9,0.2,0.00833,161,5,.,8.02,.,.
21,"Cambridge
Springs",2000-10-20,.,normal,n/a,n/a,n/a,,no data,n/a,43.5,7,6.5,.,0,833,.,.,.,.,.,.
1,Maplewood,2000-10-20,3:00:00,clear,clear,n/a,n/a,,no data,n/a,10,7.5,60,9,0,0,68,0,.,3.7,.,.
21,"Cambridge
Springs",2000-10-20,10:05:00,normal,sunny,0.73,n/a,,no data,n/a,9,.,149,11,0,0,20.4,7.5,.,63.8,.,.
5,"Cambridge
Springs",2000-10-23,.,normal,"clear, nice",0.5,n/a,,no data,1.2,15.5,7.35,100,12.5,0.1,0,127.5,0,.,3.45,.,.
36,Conneaut Valley,2000-10-24,.,"fast, clear","light rain, cool",0.15,n/a,,no data,0.31,12.2,7.8,140,11,0.07,0.01,153,0,.,5.55,.,.
37,Conneaut Valley,2000-10-24,.,"slow, turbid",light rain,0.07,n/a,,no data,0.12,12.6,7.6,130,11,0.01,0.03,170,5,.,4.65,.,.
38,Conneaut Valley,2000-10-24,.,"still, turbid",cloudy,0.35,n/a,,no data,0.05,12.8,7.9,140,11,0.1,0.01,170,10,.,8.65,.,.
7,Meadville Senior,2000-10-25,.,n/a,rain,higher,n/a,,no data,n/a,14,8.9,110,7.5,0,0,13,5,.,16.95,.,.
1,Maplewood,2000-10-26,9:00:00,clear,clear,n/a,n/a,,no data,n/a,14,7.4,60,10,0,0,68,2.5,.,4.3,.,.
21,"Cambridge
Springs",2000-10-27,1:30:00,normal,rain,n/a,n/a,,no data,n/a,.,6.5,110,6.5,0,0,722.5,.,.,.,.,.
1,Maplewood,2000-10-27,3:00:00,clear,clear,n/a,n/a,,no data,n/a,12,7.64,60,9,0,0,34,0,.,4.82,.,.
21,"Cambridge
Springs",2000-10-27,10:00:00,normal,rain,0.74,n/a,,no data,n/a,11.5,6.6,.,6.5,0,0.0013,127.5,10,.,14.67,.,.
5,"Cambridge
Springs",2000-10-30,.,clear,"cold, clear",0.4,n/a,,no data,1.475,11.5,7.35,100,13.5,0.065,0.033,102,0,.,2.9,.,.
9,"Sherman
Central",2000-10-30,.,clear,"clear, cool",low,n/a,,no data,n/a,8.7,7.65,255,13,0.14,0.03,93.5,17.5,.,7.45,.,.
25,"Meadville
Middle",2000-10-31,.,n/a,"nice, clear",n/a,n/a,,no data,average,12,8.05,135,14,0.015,0,110.5,5,.,5.75,.,.
26,"Meadville
Middle",2000-10-31,.,clear,n/a,high,n/a,,no data,n/a,5.5,7.8,130,8.5,0.03,0.02,102,5,.,8.05,.,.
4,"Cambridge
Springs",2000-11-01,.,depth,dry,3.4,n/a,RCE=119,no data,n/a,9.25,7.3,100,8.25,1.65,0.045,37,5,.,24,.,.
19,Clymer,2000-11-01,.,"clear, slow","clear, cold",1,n/a,,no data,1.8,10,9.3,140,2,0.2,0.2,155,2.5,.,28.5,.,.
6,Saegertown,2000-11-02,.,clear,"nice, warm",0.65,49.9,Hard=10p/pg,no data,20.4,15.5,8.9,130,11,0,0.15,170,0,.,15.75,.,.
28,Fort LeBoeuf,2000-11-02,.,"clear, low","sunny, no rain",1.03,n/a,,no data,n/a,12,7.9,105,10.5,0.0875,0.11,136,5,.,9.38,.,.
12,Parker,2000-11-02,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,4.5,8.3,60,12,0.35,0.02,127.5,5,.,12.8,.,.
13,Parker,2000-11-02,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,9,8,105,9,4,0.01333,153,5,.,48.9,.,.
33,Parker,2000-11-02,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,5,7.75,140,9,0.2,0.01333,170,5,.,8.9,.,.
12,Parker,2000-11-02,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,6,7.6,60,9,0.35,0.002,144.5,5,.,9.03,.,.
13,Parker,2000-11-02,9:50:00,discharge,n/a,n/a,n/a,,no data,n/a,13,7.45,215,9,7.5,0.07,170,5,.,81.15,.,.
33,Parker,2000-11-02,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,7,7.85,140,9.5,0.19,0.00333,170,5,.,9.1,.,.
12,Parker,2000-11-02,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,9,6.85,100,11.5,0.23,0,161.5,5,.,10.45,.,.
13,Parker,2000-11-02,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,14.5,7.8,110,10,0.8,0,153,5,.,14.4,.,.
33,Parker,2000-11-02,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,8.25,8,125,9.5,0.1,0,153,5,.,9.35,.,.
5,"Cambridge
Springs",2000-11-06,.,clear,"calm, cool",0.5,n/a,,no data,1.2,11,7.3,100,17,0.1,0,127.5,0,.,0.7,.,.
47,Grove City,2000-11-08,8:15:00,fast,rain,n/a,n/a,,no data,n/a,7.9,7.7,160,12,0.02,0,136,5,.,4.4,.,.
48,Grove City,2000-11-08,9:30:00,fast,rain,n/a,n/a,,no data,n/a,8.8,7.7,170,8,0.35,0,178,7.5,.,11,.,.
40,General McLane,2000-11-09,.,n/a,rain,normal,n/a,,no data,n/a,12,8.6,180,6,0,0.2,187,5,.,18.6,.,.
39,General McLane,2000-11-10,.,clear,"rain, windy",normal,n/a,,no data,n/a,11.5,8.35,120,10,0.08,0,136,5,.,11.6,.,.
28,Fort LeBoeuf,2000-11-14,.,vegetation,"rain, snow",higher,n/a,,no data,n/a,8.75,7.6,100,16,0.2,0,170,5,.,2.6,.,.
4,"Cambridge
Springs",2000-11-15,.,murky,"cold, snow",3.6,n/a,RCE=179,no data,n/a,5,7.8,100,10,0.19,0.5,34,5,.,15.8,.,.
7,Meadville Senior,2000-11-15,.,n/a,snow,normal,n/a,,no data,n/a,2,8.9,90,12.5,0,0,102,5,.,13.45,.,.
19,Clymer,2000-11-15,.,n/a,very cold,1.8,n/a,,no data,fast,4,8.8,120,13,0.04,0.13,119,5,.,14.65,.,.
29,Seneca,2000-11-15,.,"fast, clear","drizzle, cold",high,n/a,,no data,fast,10.5,6.4,100,14,0.001,0.13,213,5,.,11.96,.,.
30,Seneca,2000-11-15,.,"fast, clear",rain/cold,normal,n/a,,no data,n/a,12,6.2,90,11,0.001,0.093,170,5,.,15.11,.,.
32,Seneca,2000-11-15,.,clear,little rain,normal,n/a,,no data,normal,14.5,6.8,120,10.5,0.001,0.146,153,5,.,11.45,.,.
35,Meadville High,2000-11-15,.,clear,"colder, snow",n/a,n/a,,no data,n/a,5,8.2,245,11,0.5,0.044,102,0,.,13.56,.,.
3,Bethesda,2000-11-16,.,high,rain,n/a,n/a,,no data,n/a,7,7.5,100,11.5,0.07,0,110.5,0,.,2.65,.,.
6,Saegertown,2000-11-16,.,clear,"warm, snow",n/a,n/a,Hard=8g/pg,no data,n/a,5,8,110,12.5,0.113,0.017,144.5,10,.,16.46,.,.
12,Parker,2000-11-16,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,3.5,7.4,100,12.5,0.62,0,127.5,0,.,8.25,.,.
13,Parker,2000-11-16,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,2,6.8,105,10,0.02,0,136,5,.,9.8,.,.
33,Parker,2000-11-16,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,4,7.85,110,10,0.12,0.01333,110.5,5,.,8.2,.,.
12,Parker,2000-11-16,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,5,6.8,90,13.5,0.08,0,136,0,.,6.95,.,.
13,Parker,2000-11-16,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,2,6.75,105,10,0.29,0.00133,136,5,.,12.92,.,.
33,Parker,2000-11-16,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,2,8,105,9.5,0.13,0.115,153,5,.,11.38,.,.
12,Parker,2000-11-16,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,5,8,110,11,0.07,0,153,5,.,8,.,.
13,Parker,2000-11-16,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,6,6.8,90,12.5,0.1,0.02,144.5,5,.,9.15,.,.
33,Parker,2000-11-16,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,3,7.95,95,12,0.07,0,136,5,.,6.9,.,.
41,"Cam. Springs
HS (Dzurko)",2000-11-28,.,greenish-brown,"rain, snowmelt",higher,n/a,,no data,n/a,4,7.8,70,13,0.09,0,68,5,.,5.2,.,.
39,General McLane,2000-11-29,.,e,"snow, rain",normal,n/a,,no data,n/a,8.5,8.6,75,12.5,1.2,0.004,144.5,5,.,23.11,.,.
42,"Maplewood
JR/SR HS",2000-11-29,.,clear,"rain, snowmelt",higher,n/a,,no data,fast,5.25,7.7,55,11.5,0.02,0,51,5,.,4.75,.,.
6,Saegertown,2000-11-30,.,"swift, murky","snowy, rainy",1.5,97.1,Hard=7.5g/pg,no data,1.42,3,7.55,85,10.5,0,0.001,85,10,.,5.07,.,.
19,Clymer,2000-11-30,.,n/a,cold,2,n/a,,no data,n/a,4,9.7,70,7,0.02,0,119,5,.,23.9,.,.
44,"Saegertown
(Dzurko)",2000-11-30,.,greenish-blue,snow flurries,n/a,n/a,,no data,n/a,4,7.55,80,13,0.12,0,76.5,10,.,4.5,.,.
45,"Saegertown
(Dzurko)",2000-11-30,.,greenish-brown,snow,higher,n/a,,no data,n/a,5.5,7.35,75,12.5,0.035,0,51,5,.,3.8,.,.
12,Parker,2000-11-30,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,2,8,70,11,0.4,0,110.5,5,.,11.3,.,.
13,Parker,2000-11-30,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,0,7.6,70,11,0.2,0,119,.,.,.,.,.
33,Parker,2000-11-30,8:45:00,n/a,n/a,n/a,n/a,,no data,n/a,5,8.2,60,10.5,0.1,0,110.5,5,.,10.25,.,.
12,Parker,2000-11-30,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,3.5,7.95,70,11,0.77,0,119,5,.,14.6,.,.
13,Parker,2000-11-30,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,2,11.4,80,10.5,0.19,0.02,102,5,.,37.05,.,.
33,Parker,2000-11-30,9:50:00,n/a,n/a,n/a,n/a,,no data,n/a,3,7.6,80,11,0.04,0,110.5,5,.,4.5,.,.
12,Parker,2000-11-30,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,3,6.6,70,5.5,0.24,0,119,5,.,16.75,.,.
13,Parker,2000-11-30,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,2.5,7.55,80,9.5,0.085,0,127.5,10,.,6.6,.,.
33,Parker,2000-11-30,11:33:00,n/a,n/a,n/a,n/a,,no data,n/a,5,8.1,75,12.5,0.4,0.024,110.5,7.5,.,11.91,.,.
4,"Cambridge
Springs",2000-12-01,.,clear,"snow, rain",normal,n/a,,no data,n/a,4,7.5,.,7,.,.,4,20,.,.,.,.
4,"Cambridge
Springs",2000-12-01,.,n/a,"rain, snow",normal,n/a,,no data,n/a,4,7.05,60,.,0,0,68,20,.,.,.,.
21,"Cambridge
Springs",2000-12-01,1:00:00,n/a,"rain, snow",normal,n/a,,no data,n/a,4,7.05,60,.,0,0,68,20,.,.,.,.
21,"Cambridge
Springs",2000-12-01,10:00:00,clear,"snow, rain",normal,n/a,,no data,n/a,4,7.5,.,7,.,.,4,20,.,.,.,.
5,"Cambridge
Springs",2000-12-03,.,"floating ice, fast",cold & snow,0.7,n/a,,no data,5,2,9.9,55,12,0.44,0.02,51,15,.,28.5,.,.
25,"Meadville
Middle",2000-12-04,.,n/a,cold,n/a,n/a,,no data,n/a,4,8.45,100,9,0.14,0,85,5,.,13.7,.,.
26,"Meadville
Middle",2000-12-04,.,n/a,Cold,n/a,n/a,,no data,n/a,0,7.7,105,13.5,0.26,0,102,10,.,6.75,.,.
47,Grove City,2000-12-04,9:15:00,frozen patches,snow,n/a,n/a,,no data,n/a,0.9,7.6,155,18,0.2,0,162,7.5,.,1.7,.,.
48,Grove City,2000-12-04,10:30:00,frozen patches,snow,n/a,n/a,,no data,n/a,1.9,7.6,175,13,0.44,0,187,7.5,.,7.6,.,.
